Id,CourseNameShort,Academy,City,Jobs in City,Languages,ProgrammeDuration,TuitionFees,To,Time,Frequency,Distance (km),Jobs in neighbour cities
8305,Computer Science,University Of Potsdam,potsdam,62.0,English,4,0,berlin,24.0,2.5,26.14,1062.0
8305,Computer Science,University Of Potsdam,potsdam,62.0,English,4,0,wildau,60.0,1.0,40.21,1.0
8305,Computer Science,University Of Potsdam,potsdam,62.0,English,4,0,bergholz-rehbrücke,6.0,2.0,7.05,0.0
4439,Computer Science,University Of Stuttgart,stuttgart,723.0,English,4,,tübingen,49.0,3.0,30.18,56.0
4439,Computer Science,University Of Stuttgart,stuttgart,723.0,English,4,,heilbronn,38.0,2.0,40.56,171.0
4439,Computer Science,University Of Stuttgart,stuttgart,723.0,English,4,,nürtingen,27.5,2.0,20.44,61.0
4439,Computer Science,University Of Stuttgart,stuttgart,723.0,English,4,,reutlingen,45.0,2.0,31.94,69.0
4439,Computer Science,University Of Stuttgart,stuttgart,723.0,English,4,,pforzheim,40.0,2.0,37.19,20.0
4439,Computer Science,University Of Stuttgart,stuttgart,723.0,English,4,,esslingen am neckar,12.5,4.0,10.16,7.0
4439,Computer Science,University Of Stuttgart,stuttgart,723.0,English,4,,geislingen an der steige,50.0,1.0,51.42,2.0
4870,MSc Applied Computer Science,Deggendorf Institute Of Technology,deggendorf,25.0,English,3,0,passau,44.5,1.0,40.95,7.0
4870,MSc Applied Computer Science,Deggendorf Institute Of Technology,deggendorf,25.0,English,3,0,cham,90.0,2.5,54.35,17.0
4870,MSc Applied Computer Science,Deggendorf Institute Of Technology,deggendorf,25.0,English,3,0,pfarrkirchen,120.0,2.5,39.12,0.0
5616,Master Of Science In Computer Science,Paderborn University,paderborn,92.0,English,4,0,gütersloh,78.0,1.0,33.28,13.0
5616,Master Of Science In Computer Science,Paderborn University,paderborn,92.0,English,4,0,soest,25.0,1.0,47.58,13.0
5616,Master Of Science In Computer Science,Paderborn University,paderborn,92.0,English,4,0,bielefeld,47.0,1.0,36.85,83.0
5616,Master Of Science In Computer Science,Paderborn University,paderborn,92.0,English,4,0,lemgo,60.0,1.0,36.02,3.0
5616,Master Of Science In Computer Science,Paderborn University,paderborn,92.0,English,4,0,detmold,60.0,1.0,25.84,9.0
5616,Master Of Science In Computer Science,Paderborn University,paderborn,92.0,English,4,0,höxter,60.0,1.0,42.03,1.0
4455,MSc Computer Science,University Of Passau,passau,7.0,"English,German",4,0,deggendorf,46.0,1.0,40.95,25.0
4455,MSc Computer Science,University Of Passau,passau,7.0,"English,German",4,0,pfarrkirchen,82.5,1.0,41.74,0.0
4591,Computer Science,University Of Siegen,siegen,89.0,English,4,0,marburg,89.5,1.0,52.98,34.0
4591,Computer Science,University Of Siegen,siegen,89.0,English,4,0,gummersbach,180.0,1.0,36.67,8.0
4591,Computer Science,University Of Siegen,siegen,89.0,English,4,0,gießen,65.0,1.0,55.95,33.0
4591,Computer Science,University Of Siegen,siegen,89.0,English,4,0,sankt augustin,125.0,1.0,59.95,11.0
7606,Computer Science,University Of Bonn,bonn,143.0,English,4,0,köln,25.0,4.0,24.72,480.0
7606,Computer Science,University Of Bonn,bonn,143.0,English,4,0,wuppertal,65.0,1.0,59.06,61.0
7606,Computer Science,University Of Bonn,bonn,143.0,English,4,0,gummersbach,95.0,1.0,45.93,8.0
7606,Computer Science,University Of Bonn,bonn,143.0,English,4,0,koblenz,37.5,2.0,54.96,33.0
7606,Computer Science,University Of Bonn,bonn,143.0,English,4,0,düsseldorf,65.0,2.0,59.14,467.0
7606,Computer Science,University Of Bonn,bonn,143.0,English,4,0,jülich,85.0,1.0,56.22,3.0
7606,Computer Science,University Of Bonn,bonn,143.0,English,4,0,rheinbach,27.5,2.0,16.31,0.0
7606,Computer Science,University Of Bonn,bonn,143.0,English,4,0,sankt augustin,12.5,4.0,7.59,11.0
7606,Computer Science,University Of Bonn,bonn,143.0,English,4,0,remagen,22.5,2.0,19.52,0.0
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,6.0,English,3,0,kaiserslautern,79.5,1.0,59.01,22.0
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,6.0,English,3,0,frankfurt am main,67.5,1.0,58.63,730.0
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,6.0,English,3,0,koblenz,55.0,1.0,47.97,33.0
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,6.0,English,3,0,darmstadt,85.0,1.0,56.7,102.0
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,6.0,English,3,0,bad homburg vor der höhe,82.5,1.0,59.19,28.0
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,6.0,English,3,0,mainz,26.5,1.0,27.43,77.0
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,6.0,English,3,0,idstein,65.0,1.0,38.95,1.0
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,6.0,English,3,0,weidenbach,45.0,1.0,20.79,0.0
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,6.0,English,3,0,worms,65.0,1.0,50.41,16.0
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,6.0,English,3,0,wiesbaden,35.0,1.0,27.95,86.0
9856,Computer Science,University Of Regensburg,regensburg,106.0,English,4,0,amberg,46.0,1.0,51.68,5.0
9856,Computer Science,University Of Regensburg,regensburg,106.0,English,4,0,ingolstadt,65.0,1.0,56.97,87.0
9856,Computer Science,University Of Regensburg,regensburg,106.0,English,4,0,cham,67.0,0.5,47.02,17.0
3629,Computer Science (Master Of Science),RPTU University Of Kaiserslautern-Landau,kaiserslautern,22.0,English,4,0,bingen am rhein,91.0,1.0,59.01,6.0
3629,Computer Science (Master Of Science),RPTU University Of Kaiserslautern-Landau,kaiserslautern,22.0,English,4,0,mannheim,50.0,1.0,50.88,205.0
3629,Computer Science (Master Of Science),RPTU University Of Kaiserslautern-Landau,kaiserslautern,22.0,English,4,0,birkenfeld,60.0,1.0,49.35,1.0
3629,Computer Science (Master Of Science),RPTU University Of Kaiserslautern-Landau,kaiserslautern,22.0,English,4,0,landau in der pfalz,40.0,1.0,36.95,4.0
3629,Computer Science (Master Of Science),RPTU University Of Kaiserslautern-Landau,kaiserslautern,22.0,English,4,0,worms,60.0,1.0,47.7,16.0
3629,Computer Science (Master Of Science),RPTU University Of Kaiserslautern-Landau,kaiserslautern,22.0,English,4,0,zweibrücken,30.0,1.0,36.52,6.0
3629,Computer Science (Master Of Science),RPTU University Of Kaiserslautern-Landau,kaiserslautern,22.0,English,4,0,pirmasens,35.0,1.0,29.48,3.0
4249,Computer And Information Science (MSc),University Of Konstanz,konstanz,29.0,English,4,,weingarten,135.0,2.5,38.79,5.0
4249,Computer And Information Science (MSc),University Of Konstanz,konstanz,29.0,English,4,,riedlingen,170.0,2.5,59.35,0.0
4238,Computer Science For Digital Media,Bauhaus-Universität Weimar,weimar,4.0,English,4,0,ilmenau,65.0,1.0,43.47,9.0
4238,Computer Science For Digital Media,Bauhaus-Universität Weimar,weimar,4.0,English,4,0,jena,17.5,2.0,19.09,73.0
4238,Computer Science For Digital Media,Bauhaus-Universität Weimar,weimar,4.0,English,4,0,erfurt,14.5,4.0,20.99,60.0
5551,Applied Computer Science (MSc),Schmalkalden University Of Applied Sciences,schmalkalden,13.0,English,4,0,ilmenau,53.0,1.0,32.95,9.0
5551,Applied Computer Science (MSc),Schmalkalden University Of Applied Sciences,schmalkalden,13.0,English,4,0,fulda,120.0,2.5,57.83,26.0
