Id,CourseNameShort,Academy,City,Languages,ProgrammeDuration,TuitionFees,ApplicationDeadline,IsCompleteOnlinePossible,BadgeLabel,SupportInternationalStudents,Subject,TypeOfElearning,From,To,Time ,Frequency ,Distance (km),city2,Jobs in City
8305,Computer Science,University Of Potsdam,potsdam,English,4 Semesters,,<p>The Application Deadline Is 1 June.</p>,FALSE,,Welcome Event | Buddy Programme | Tutors | Accompanying Programme | Cultural And Linguistic Preparation | Visa Matters,Computer Science,,potsdam,Berlin,22–26,2–3,26.14,potsdam,62
8305,Computer Science,University Of Potsdam,potsdam,English,4 Semesters,,<p>The Application Deadline Is 1 June.</p>,FALSE,,Welcome Event | Buddy Programme | Tutors | Accompanying Programme | Cultural And Linguistic Preparation | Visa Matters,Computer Science,,potsdam,Wildau,55–65,1,40.21,potsdam,62
8305,Computer Science,University Of Potsdam,potsdam,English,4 Semesters,,<p>The Application Deadline Is 1 June.</p>,FALSE,,Welcome Event | Buddy Programme | Tutors | Accompanying Programme | Cultural And Linguistic Preparation | Visa Matters,Computer Science,,potsdam,Bergholz-Rehbrücke,5–7,2,7.05,potsdam,62
4439,Computer Science,University Of Stuttgart,stuttgart,English,4 Semesters,Varied,"<p>15 January For The Winter Semester Starting In The Same Year<br />
15 July For The Summer Semester Starting In The Next Year<br />
The Application Deadlines Are Identical For EU And Non-EU Applicants.</p>",TRUE,Partly Online,Welcome Event | Buddy Programme | Tutors | Accompanying Programme | Cultural And Linguistic Preparation | Pick-Up Service | Specialist Counselling | Visa Matters | Help With Finding Accommodation | Support With Registration Procedures,Computer Science,"1,5,9,10,11,13",stuttgart,Tübingen,43–55,3,30.18,stuttgart,723
4439,Computer Science,University Of Stuttgart,stuttgart,English,4 Semesters,Varied,"<p>15 January For The Winter Semester Starting In The Same Year<br />
15 July For The Summer Semester Starting In The Next Year<br />
The Application Deadlines Are Identical For EU And Non-EU Applicants.</p>",TRUE,Partly Online,Welcome Event | Buddy Programme | Tutors | Accompanying Programme | Cultural And Linguistic Preparation | Pick-Up Service | Specialist Counselling | Visa Matters | Help With Finding Accommodation | Support With Registration Procedures,Computer Science,"1,5,9,10,11,13",stuttgart,Heilbronn,34–42,2,40.56,stuttgart,723
4439,Computer Science,University Of Stuttgart,stuttgart,English,4 Semesters,Varied,"<p>15 January For The Winter Semester Starting In The Same Year<br />
15 July For The Summer Semester Starting In The Next Year<br />
The Application Deadlines Are Identical For EU And Non-EU Applicants.</p>",TRUE,Partly Online,Welcome Event | Buddy Programme | Tutors | Accompanying Programme | Cultural And Linguistic Preparation | Pick-Up Service | Specialist Counselling | Visa Matters | Help With Finding Accommodation | Support With Registration Procedures,Computer Science,"1,5,9,10,11,13",stuttgart,Nürtingen,25–30,2,20.44,stuttgart,723
4439,Computer Science,University Of Stuttgart,stuttgart,English,4 Semesters,Varied,"<p>15 January For The Winter Semester Starting In The Same Year<br />
15 July For The Summer Semester Starting In The Next Year<br />
The Application Deadlines Are Identical For EU And Non-EU Applicants.</p>",TRUE,Partly Online,Welcome Event | Buddy Programme | Tutors | Accompanying Programme | Cultural And Linguistic Preparation | Pick-Up Service | Specialist Counselling | Visa Matters | Help With Finding Accommodation | Support With Registration Procedures,Computer Science,"1,5,9,10,11,13",stuttgart,Reutlingen,40–50,2,31.94,stuttgart,723
4439,Computer Science,University Of Stuttgart,stuttgart,English,4 Semesters,Varied,"<p>15 January For The Winter Semester Starting In The Same Year<br />
15 July For The Summer Semester Starting In The Next Year<br />
The Application Deadlines Are Identical For EU And Non-EU Applicants.</p>",TRUE,Partly Online,Welcome Event | Buddy Programme | Tutors | Accompanying Programme | Cultural And Linguistic Preparation | Pick-Up Service | Specialist Counselling | Visa Matters | Help With Finding Accommodation | Support With Registration Procedures,Computer Science,"1,5,9,10,11,13",stuttgart,Pforzheim,35–45,2,37.19,stuttgart,723
4439,Computer Science,University Of Stuttgart,stuttgart,English,4 Semesters,Varied,"<p>15 January For The Winter Semester Starting In The Same Year<br />
15 July For The Summer Semester Starting In The Next Year<br />
The Application Deadlines Are Identical For EU And Non-EU Applicants.</p>",TRUE,Partly Online,Welcome Event | Buddy Programme | Tutors | Accompanying Programme | Cultural And Linguistic Preparation | Pick-Up Service | Specialist Counselling | Visa Matters | Help With Finding Accommodation | Support With Registration Procedures,Computer Science,"1,5,9,10,11,13",stuttgart,Esslingen am Neckar,10–15,4,10.16,stuttgart,723
4439,Computer Science,University Of Stuttgart,stuttgart,English,4 Semesters,Varied,"<p>15 January For The Winter Semester Starting In The Same Year<br />
15 July For The Summer Semester Starting In The Next Year<br />
The Application Deadlines Are Identical For EU And Non-EU Applicants.</p>",TRUE,Partly Online,Welcome Event | Buddy Programme | Tutors | Accompanying Programme | Cultural And Linguistic Preparation | Pick-Up Service | Specialist Counselling | Visa Matters | Help With Finding Accommodation | Support With Registration Procedures,Computer Science,"1,5,9,10,11,13",stuttgart,Geislingen an der Steige,45–55,1,51.42,stuttgart,723
4870,MSc Applied Computer Science,Deggendorf Institute Of Technology,deggendorf,English,3 Semesters,,"<p>15 April To 15 May For October Entries (winter Semester)<br />
1 October To 1 November For&nbsp;March Entries (summer Semester)</p>",FALSE,,Welcome Event | Buddy Programme | Tutors | Cultural And Linguistic Preparation | Accompanying Programme | Visa Matters | Pick-Up Service,Computer Science,,deggendorf,Passau,39–50,1,40.95,deggendorf,25
4870,MSc Applied Computer Science,Deggendorf Institute Of Technology,deggendorf,English,3 Semesters,,"<p>15 April To 15 May For October Entries (winter Semester)<br />
1 October To 1 November For&nbsp;March Entries (summer Semester)</p>",FALSE,,Welcome Event | Buddy Programme | Tutors | Cultural And Linguistic Preparation | Accompanying Programme | Visa Matters | Pick-Up Service,Computer Science,,deggendorf,Cham,Approximately 90,0.5,54.35,deggendorf,25
